nombre,direccion,zona,telefono,web
Angeles y Demonios,"Colpayo, 759
Caballito, Ciudad de Buenos Aires
angelesydemonios.com.ar",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Atención personalizada y asesoramiento integral,,,11 62728970,https://irp.cdn-website.com/718d4923/site_favicon_16_1762207485660.ico
Ozara Fiestas & Eventos,"Venezuela, 4136
Almagro, Ciudad de Buenos Aires
www.ozara.com.ar",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Victoria Plaza,"Av Alvarez Jonte, 2902
Villa Santa Rita, Ciudad de Buenos Aires",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Mentawai,"Av Corrientes, 5552
Villa Crespo, Ciudad de Buenos Aires
www.mentawaieventos.com",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Quinta Don Antonio,"Av Pueyrredón, 500
Once (Balvanera), Ciudad de Buenos Aires",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Rocckola Eventos,"P Lozano, 3625
Villa del Parque, Ciudad de Buenos Aires
www.rocckolaeventos.com",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Honorio Multieventos,"Av H Pueyrredón, 320
Caballito, Ciudad de Buenos Aires
www.honoriomultieventos.com",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Salones Leprett,"L Sáenz Peña, 739
Monserrat, Ciudad de Buenos Aires
www.salonesleprett.com.ar",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Class Recepciones,"Av Nazca, 35
Flores, Ciudad de Buenos Aires
www.salonclass.com.ar",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Sueños y Caramelos,"Av Rivadavia, 3818
Almagro, Ciudad de Buenos Aires
www.sycaramelos.com.ar",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Monedas de Chocolate,"Doblas, 1957
Parque Chacabuco, Ciudad de Buenos Aires
www.ozonorecepciones.com.ar",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Recepciones Orion,"Av E Perón, 3482
Flores, Ciudad de Buenos Aires",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Adriana Carmen Faura,"Vilela, 2935
Saavedra, Ciudad de Buenos Aires",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
Salon Luz de Luna,"E De Luca, 1639
Parque Patricios, Ciudad de Buenos Aires",,,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css
