nombre,direccion,zona,telefono,web,tipo,activo,capacidad,precio,descripcion
Angeles y Demonios,"Colpayo, 759
Caballito, Ciudad de Buenos Aires",,,,Infantil,True,,,
Atención personalizada y asesoramiento integral,,,11 62728970,,Infantil,True,,,
Ozara Fiestas & Eventos,"Venezuela, 4136
Almagro, Ciudad de Buenos Aires",,,,Infantil,True,,,
Victoria Plaza,"Av Alvarez Jonte, 2902
Villa Santa Rita, Ciudad de Buenos Aires",,,,Infantil,True,,,
Mentawai,"Av Corrientes, 5552
Villa Crespo, Ciudad de Buenos Aires",,,,Infantil,True,,,
Quinta Don Antonio,"Av Pueyrredón, 500
Once (Balvanera), Ciudad de Buenos Aires",,,,Infantil,True,,,
Rocckola Eventos,"P Lozano, 3625
Villa del Parque, Ciudad de Buenos Aires",,,,Infantil,True,,,
Honorio Multieventos,"Av H Pueyrredón, 320
Caballito, Ciudad de Buenos Aires",,,,Infantil,True,,,
Salones Leprett,"L Sáenz Peña, 739
Monserrat, Ciudad de Buenos Aires",,,,Infantil,True,,,
Class Recepciones,"Av Nazca, 35
Flores, Ciudad de Buenos Aires",,,,Infantil,True,,,
Sueños y Caramelos,"Av Rivadavia, 3818
Almagro, Ciudad de Buenos Aires",,,,Infantil,True,,,
Monedas de Chocolate,"Doblas, 1957
Parque Chacabuco, Ciudad de Buenos Aires",,,,Infantil,True,,,
Recepciones Orion,"Av E Perón, 3482
Flores, Ciudad de Buenos Aires",,,,Infantil,True,,,
Adriana Carmen Faura,"Vilela, 2935
Saavedra, Ciudad de Buenos Aires",,,,Infantil,True,,,
Salon Luz de Luna,"E De Luca, 1639
Parque Patricios, Ciudad de Buenos Aires",,,,Infantil,True,,,
